iter	Passed	Remaining
0	47	47630
1	48	24056
2	48	16179
3	49	12234
4	50	9994
5	51	8547
6	52	7428
7	52	6553
8	53	5867
9	53	5319
10	54	4871
11	54	4498
12	55	4183
13	55	3920
14	56	3682
15	56	3477
16	57	3298
17	57	3161
18	58	3014
19	59	2911
20	59	2791
21	60	2681
22	60	2581
23	61	2489
24	61	2406
25	62	2327
26	62	2259
27	63	2192
28	63	2129
29	64	2089
30	65	2033
31	65	1990
32	66	1941
33	66	1895
34	67	1852
35	67	1813
36	68	1775
37	68	1739
38	69	1704
39	69	1674
40	70	1655
41	71	1626
42	71	1597
43	72	1569
44	72	1546
45	73	1521
46	73	1497
47	74	1474
48	74	1452
49	75	1431
50	75	1412
51	76	1391
52	76	1373
53	77	1354
54	77	1338
55	78	1321
56	78	1306
57	79	1289
58	79	1275
59	80	1260
60	80	1246
61	81	1231
62	81	1217
63	82	1204
64	82	1191
65	83	1181
66	83	1168
67	84	1158
68	84	1146
69	85	1135
70	85	1123
71	86	1112
72	87	1110
73	88	1101
74	88	1092
75	89	1082
76	89	1072
77	89	1063
78	90	1053
79	90	1044
80	91	1034
81	91	1025
82	91	1015
83	92	1006
84	92	998
85	93	989
86	93	983
87	94	977
88	94	972
89	95	964
90	95	957
91	96	950
92	96	943
93	97	936
94	97	930
95	98	923
96	98	916
97	98	910
98	99	904
99	99	898
100	100	892
101	100	887
102	101	882
103	101	876
104	102	870
105	102	865
106	103	859
107	103	854
108	103	850
109	104	845
110	104	840
111	105	835
112	105	830
113	106	826
114	106	822
115	107	818
116	107	814
117	108	809
118	108	805
119	109	801
120	109	798
121	110	793
122	111	791
123	111	788
124	112	784
125	112	781
126	112	776
127	113	772
128	113	768
129	114	764
130	114	761
131	115	757
132	115	754
133	116	751
134	116	748
135	117	744
136	117	741
137	118	738
138	118	734
139	119	732
140	119	728
141	119	724
142	120	723
143	121	720
144	121	717
145	122	714
146	122	711
147	123	709
148	123	707
149	124	704
150	124	701
151	125	699
152	125	697
153	126	694
154	126	691
155	127	689
156	127	687
157	128	684
158	129	682
159	129	679
160	129	675
161	130	673
162	130	671
163	131	669
164	131	667
165	132	665
166	132	662
167	133	661
168	133	658
169	134	657
170	135	655
171	135	652
172	136	650
173	136	648
174	136	645
175	137	643
176	137	641
177	138	639
178	139	637
179	139	635
180	139	632
181	140	631
182	141	629
183	141	627
184	142	625
185	142	623
186	143	622
187	143	619
188	144	618
189	144	615
190	144	614
191	145	612
192	146	610
193	146	608
194	146	606
195	147	605
196	148	603
197	148	601
198	149	600
199	149	598
200	150	596
201	150	595
202	151	593
203	151	592
204	152	590
205	152	588
206	153	587
207	153	585
208	154	583
209	154	582
210	155	581
211	155	579
212	156	578
213	156	576
214	157	575
215	158	573
216	158	571
217	159	570
218	159	568
219	160	567
220	160	565
221	160	564
222	161	562
223	162	561
224	162	559
225	163	558
226	163	557
227	164	555
228	164	554
229	165	553
230	165	552
231	166	550
232	167	549
233	167	548
234	167	546
235	168	545
236	169	544
237	169	542
238	170	541
239	170	540
240	171	538
241	171	537
242	172	536
243	172	534
244	173	533
245	173	532
246	174	531
247	174	530
248	175	528
249	175	527
250	176	526
251	176	524
252	177	523
253	177	522
254	178	521
255	179	520
256	179	519
257	180	518
258	180	517
259	181	516
260	182	515
261	182	514
262	183	512
263	183	511
264	184	510
265	184	509
266	185	508
267	185	506
268	186	506
269	186	504
270	187	503
271	187	502
272	188	501
273	188	500
274	189	499
275	189	497
276	190	497
277	191	496
278	191	495
279	192	493
280	192	492
281	193	491
282	193	490
283	194	489
284	194	488
285	195	487
286	195	485
287	196	485
288	196	484
289	197	483
290	197	482
291	198	481
292	199	480
293	199	479
294	200	478
295	200	477
296	201	476
297	201	475
298	202	474
299	202	473
300	203	473
301	204	471
302	204	471
303	205	469
304	205	468
305	206	467
306	206	466
307	207	465
308	207	464
309	208	463
310	208	462
311	209	461
312	209	460
313	210	459
314	210	458
315	211	457
316	211	456
317	212	455
318	212	454
319	213	453
320	213	452
321	214	451
322	214	450
323	215	449
324	216	448
325	216	447
326	216	446
327	217	445
328	218	444
329	218	443
330	219	442
331	219	441
332	220	440
333	220	439
334	220	438
335	221	437
336	221	436
337	222	435
338	222	434
339	223	433
340	223	432
341	224	431
342	224	430
343	225	430
344	226	429
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
350	229	423
351	229	422
352	230	421
353	230	420
354	231	419
355	231	419
356	232	418
357	232	417
358	233	417
359	234	416
360	234	415
361	235	414
362	235	413
363	236	412
364	236	411
365	237	410
366	237	409
367	238	408
368	238	408
369	239	407
370	239	406
371	240	405
372	240	405
373	241	404
374	241	403
375	242	402
376	243	401
377	243	400
378	244	399
379	244	398
380	245	398
381	245	397
382	246	397
383	246	396
384	247	395
385	248	394
386	248	393
387	248	392
388	249	392
389	250	391
390	250	390
391	251	389
392	251	388
393	252	388
394	252	387
395	253	386
396	253	385
397	254	384
398	255	384
399	255	383
400	255	382
401	256	381
402	257	380
403	257	379
404	258	379
405	258	378
406	259	377
407	259	376
408	260	376
409	260	375
410	261	374
411	261	373
412	262	373
413	262	372
414	263	371
415	264	370
416	264	370
417	265	369
418	265	368
419	266	367
420	266	367
421	267	366
422	267	365
423	268	364
424	269	364
425	269	363
426	270	363
427	271	362
428	271	361
429	272	361
430	272	360
431	273	359
432	274	359
433	274	358
434	275	357
435	275	356
436	276	356
437	277	355
438	277	354
439	277	353
440	278	353
441	279	352
442	279	351
443	280	350
444	280	350
445	281	349
446	281	348
447	282	347
448	282	346
449	283	346
450	283	345
451	284	344
452	284	344
453	285	343
454	285	342
455	286	341
456	286	340
457	287	340
458	287	339
459	288	338
460	288	337
461	289	337
462	290	336
463	290	335
464	291	334
465	291	334
466	292	333
467	292	332
468	293	331
469	293	331
470	294	330
471	294	329
472	295	328
473	295	328
474	296	327
475	296	326
476	297	326
477	297	325
478	298	324
479	298	323
480	299	322
481	299	322
482	300	321
483	300	320
484	301	320
485	301	319
486	302	318
487	302	317
488	303	316
489	303	316
490	304	315
491	304	314
492	305	313
493	305	313
494	306	312
495	307	312
496	307	311
497	308	310
498	309	310
499	309	309
500	310	308
501	310	308
502	311	307
503	311	306
504	312	306
505	312	305
506	313	304
507	314	304
508	314	303
509	315	302
510	315	302
511	316	301
512	316	300
513	317	300
514	318	299
515	319	299
516	319	298
517	320	297
518	320	297
519	321	296
520	321	295
521	322	295
522	322	294
523	323	293
524	323	292
525	324	292
526	325	291
527	325	291
528	326	290
529	326	289
530	327	289
531	328	288
532	328	288
533	329	287
534	329	286
535	330	286
536	331	285
537	331	284
538	332	284
539	332	283
540	333	282
541	333	282
542	334	281
543	335	280
544	335	280
545	336	279
546	336	278
547	337	278
548	337	277
549	338	276
550	339	276
551	339	275
552	340	274
553	340	274
554	341	273
555	341	273
556	342	272
557	342	271
558	343	270
559	344	270
560	344	269
561	345	269
562	345	268
563	346	267
564	347	267
565	347	266
566	348	265
567	348	265
568	349	264
569	349	263
570	350	263
571	350	262
572	351	261
573	352	261
574	352	260
575	353	260
576	353	259
577	354	258
578	355	258
579	355	257
580	356	256
581	356	256
582	357	255
583	357	254
584	358	254
585	358	253
586	359	252
587	360	252
588	360	251
589	361	251
590	361	250
591	362	249
592	363	249
593	363	248
594	364	247
595	364	247
596	365	246
597	365	245
598	366	245
599	366	244
600	367	243
601	367	243
602	368	242
603	368	241
604	369	241
605	369	240
606	370	239
607	370	239
608	371	238
609	371	237
610	372	237
611	372	236
612	373	235
613	373	234
614	374	234
615	374	233
616	374	232
617	375	232
618	375	231
619	376	230
620	376	229
621	377	229
622	377	228
623	378	227
624	378	227
625	379	226
626	379	225
627	379	225
628	380	224
629	380	223
630	381	222
631	381	222
632	382	221
633	382	220
634	382	220
635	383	219
636	383	218
637	384	217
638	384	217
639	384	216
640	385	215
641	385	215
642	386	214
643	386	213
644	387	213
645	387	212
646	388	211
647	388	211
648	389	210
649	389	209
650	390	209
651	390	208
652	390	207
653	391	207
654	391	206
655	392	205
656	392	205
657	393	204
658	393	203
659	394	203
660	394	202
661	395	201
662	395	201
663	395	200
664	396	199
665	396	199
666	397	198
667	397	197
668	398	196
669	398	196
670	399	195
671	399	194
672	399	194
673	400	193
674	400	192
675	401	192
676	401	191
677	402	190
678	402	190
679	403	189
680	403	188
681	403	188
682	404	187
683	404	187
684	405	186
685	405	185
686	406	185
687	406	184
688	407	183
689	407	183
690	408	182
691	408	181
692	409	181
693	409	180
694	410	179
695	410	179
696	410	178
697	411	177
698	411	177
699	412	176
700	412	176
701	413	175
702	413	174
703	413	174
704	414	173
705	414	172
706	415	172
707	415	171
708	416	170
709	416	170
710	416	169
711	417	168
712	417	168
713	418	167
714	418	166
715	419	166
716	419	165
717	419	164
718	420	164
719	420	163
720	421	162
721	421	162
722	422	161
723	422	161
724	422	160
725	423	159
726	423	159
727	424	158
728	424	157
729	425	157
730	425	156
731	425	155
732	426	155
733	426	154
734	427	154
735	427	153
736	427	152
737	428	152
738	428	151
739	429	150
740	429	150
741	430	149
742	430	149
743	431	148
744	431	147
745	432	147
746	432	146
747	432	145
748	433	145
749	433	144
750	434	143
751	434	143
752	435	142
753	435	142
754	435	141
755	436	140
756	436	140
757	437	139
758	437	138
759	438	138
760	438	137
761	438	137
762	439	136
763	439	135
764	440	135
765	440	134
766	441	134
767	441	133
768	441	132
769	442	132
770	442	131
771	443	130
772	443	130
773	444	129
774	444	129
775	445	128
776	445	127
777	446	127
778	446	126
779	446	126
780	447	125
781	447	124
782	448	124
783	448	123
784	449	123
785	449	122
786	450	121
787	450	121
788	450	120
789	451	119
790	451	119
791	452	118
792	452	118
793	453	117
794	453	116
795	453	116
796	454	115
797	454	115
798	455	114
